wavelength,transmission
625.5,0.0644
625.55,0.0723
625.6,0.0732
625.65,0.0574
625.7,0.0606
625.75,0.0555
625.8,0.0536
625.85,0.054
625.9,0.0625
625.95,0.0444
626,0.0616
626.05,0.0663
626.1,0.0506
626.15,0.0506
626.2,0.0492
626.25,0.0294
626.3,0.0661
626.35,0.0511
626.4,0.0556
626.45,0.0188
626.5,0.0257
626.55,0.0414
626.6,0.0484
626.65,0.0167
626.7,0.0341
626.75,0.0216
626.8,0.0269
626.85,0.0308
626.9,0.0451
626.95,0.07
627,0.0326
627.05,0.011
627.1,0.0288
627.15,0.0414
627.2,0.0225
627.25,0.0119
627.3,0.0509
